player_slug,player_name,canonical_name,season_end,war
greenda02,Danny Green,danny green,2017,4.987898644
greenda02,Danny Green,danny green,2018,4.118509627
greenda02,Danny Green,danny green,2019,10.10576145
greenda02,Danny Green,danny green,2020,6.60001668226392
greenda02,Danny Green,danny green,2021,6.224987211364143
greenda02,Danny Green,danny green,2022,3.308754824466498
greendr01,Draymond Green,draymond green,2017,16.83009631
greendr01,Draymond Green,draymond green,2018,11.55596852
greendr01,Draymond Green,draymond green,2019,11.06816976
greendr01,Draymond Green,draymond green,2020,1.64046905768453
greendr01,Draymond Green,draymond green,2021,7.530784352730482
greendr01,Draymond Green,draymond green,2022,6.989095087566871
greenge01,Gerald Green,gerald green,2017,-0.335188343
greenge01,Gerald Green,gerald green,2018,0.799877182
greenge01,Gerald Green,gerald green,2019,0.458883748
greenja01,JaMychal Green,jamychal green,2017,2.968551485
greenja01,JaMychal Green,jamychal green,2018,-0.160922608
greenja01,JaMychal Green,jamychal green,2019,-0.081560717
greenja01,JaMychal Green,jamychal green,2020,0.399619494776432
greenja01,JaMychal Green,jamychal green,2021,1.474858535484554
greenja01,JaMychal Green,jamychal green,2022,0.1528537349165692
greenja02,Javonte Green,javonte green,2020,-0.041381786602048
greenja02,Javonte Green,javonte green,2021,0.8829611051241726
greenja02,Javonte Green,javonte green,2022,3.691489659812755
greenja05,Jalen Green,jalen green,2022,-1.664680952321303
greenje02,Jeff Green,jeff green,2017,-0.168216645
greenje02,Jeff Green,jeff green,2018,2.52761579
greenje02,Jeff Green,jeff green,2019,2.131536057
greenje02,Jeff Green,jeff green,2020,0.985149577804859
greenje02,Jeff Green,jeff green,2021,1.638685742007754
greenje02,Jeff Green,jeff green,2022,-0.6273832144274424
greenjo02,Josh Green,josh green,2021,-0.3289942787408792
greenjo02,Josh Green,josh green,2022,1.440408119357451
griffbl01,Blake Griffin,blake griffin,2017,9.980862776
griffbl01,Blake Griffin,blake griffin,2018,5.151387345
griffbl01,Blake Griffin,blake griffin,2019,9.98915614
griffbl01,Blake Griffin,blake griffin,2020,-0.214193730974791
griffbl01,Blake Griffin,blake griffin,2021,3.883278617266928
griffbl01,Blake Griffin,blake griffin,2022,2.886425763323839
grimequ01,Quentin Grimes,quentin grimes,2022,1.117362849367761
gudurma01,Marko Guduric,marko guduric,2020,-0.458467258329312
