player_slug,player_name,canonical_name,season_end,war,salary,dollars_per_war
bateske01,Keita Bates-Diop,keita bates diop,2021,0.1672053133885401,547332.0,3273412.721808355
bateske01,Keita Bates-Diop,keita bates diop,2022,0.5898405207718032,1999575.0,3390026.5064590117
batumni01,Nicolas Batum,nicolas batum,2017,3.99955652,20869566.0,5217970.016335711
batumni01,Nicolas Batum,nicolas batum,2018,1.792241701,24000000.0,13391050.98749178
batumni01,Nicolas Batum,nicolas batum,2019,1.977315187,24000000.0,12137670.391543904
batumni01,Nicolas Batum,nicolas batum,2020,1.17679057597717,25565217.0,21724525.605391975
batumni01,Nicolas Batum,nicolas batum,2021,7.559357345710374,14146851.0,1871435.6727728657
batumni01,Nicolas Batum,nicolas batum,2022,2.167206316226813,13907389.0,6417196.598159276
baynear01,Aron Baynes,aron baynes,2017,3.184373182,6500000.0,2041218.0446506476
baynear01,Aron Baynes,aron baynes,2019,2.162920025,5193600.0,2401198.3522136933
baynear01,Aron Baynes,aron baynes,2020,0.896839835115015,5453280.0,6080550.602773622
bazemke01,Kent Bazemore,kent bazemore,2017,3.130193167,15730338.0,5025356.954272592
bazemke01,Kent Bazemore,kent bazemore,2018,3.074314934,18089887.0,5884200.997086266
bazemke01,Kent Bazemore,kent bazemore,2019,0.386742018,18089887.0,46775075.2647725
bazemke01,Kent Bazemore,kent bazemore,2020,2.19916123099776,19269662.0,8762277.966885287
bazemke01,Kent Bazemore,kent bazemore,2021,2.355999487761563,2827417.0,1200092.3661856698
bazemke01,Kent Bazemore,kent bazemore,2022,0.7834455873077644,2777011.0,3544612.47212194
bazleda01,Darius Bazley,darius bazley,2020,0.993664949234565,2284800.0,2299366.6041657357
bealbr01,Bradley Beal,bradley beal,2017,12.8920628,22116750.0,1715532.2885954294
bealbr01,Bradley Beal,bradley beal,2018,9.068290745,25434263.0,2804747.191638483
bealbr01,Bradley Beal,bradley beal,2019,9.580186206,25434263.0,2654881.9044947904
bealbr01,Bradley Beal,bradley beal,2020,4.65647246031004,27093019.0,5818356.971061326
bealbr01,Bradley Beal,bradley beal,2021,7.381822409018201,35039541.0,4746733.131535785
bealbr01,Bradley Beal,bradley beal,2022,3.264921882632839,38996895.0,11944204.609438566
beaslma01,Malik Beasley,malik beasley,2017,0.454544338,1627320.0,3580112.7941890676
beaslma01,Malik Beasley,malik beasley,2018,0.039685409,1700640.0,42853029.43457128
beaslma01,Malik Beasley,malik beasley,2019,2.182016556,1773840.0,812936.0866315992
beaslma01,Malik Beasley,malik beasley,2020,0.569906806803296,2731714.0,4793264.385317044
beaslma01,Malik Beasley,malik beasley,2021,0.647867725358772,16362023.0,25255190.773609143
beaslma01,Malik Beasley,malik beasley,2022,1.270844472772599,16757746.0,13186307.497910943
beaslmi01,Michael Beasley,michael beasley,2017,1.354232442,1403611.0,1036462.3948360557
belinma01,Marco Belinelli,marco belinelli,2017,0.746940013,6333333.0,8479038.329414012
