draft_year,pick,player_slug,player_name,canonical_name,war_first4,cost_first4,bucket,cost_per_war_per_season,war_per_season
2017,3,tatumja01,Jayson Tatum,jayson tatum,30.995604628257595,32237735.0,01-05,260018.60091648283,7.748901157064399
2017,4,jacksjo02,Josh Jackson,josh jackson,1.3583190006956047,24000542.0,01-05,4417324.27870573,0.3395797501739012
2017,5,foxde01,De'Aaron Fox,deaaron fox,10.387913472639394,26343826.0,01-05,634001.8635452322,2.5969783681598484
2017,6,isaacjo01,Jonathan Isaac,jonathan isaac,6.9661848887316005,24717295.0,06-10,887045.613732645,1.7415462221829001
2017,7,markkla01,Lauri Markkanen,lauri markkanen,5.820920979891364,22576271.0,06-10,969617.6549205339,1.455230244972841
2017,8,ntilila01,Frank Ntilikina,frank ntilikina,0.8011996219264941,20694582.0,06-10,6457373.865903615,0.20029990548162352
2017,12,kennalu01,Luke Kennard,luke kennard,2.97718280720863,16804886.0,11-20,1411139.9171819796,0.7442957018021575
2017,13,mitchdo01,Donovan Mitchell,donovan mitchell,25.35024400779709,15700232.0,11-20,154833.14475366595,6.337561001949273
2017,14,adebaba01,Bam Adebayo,bam adebayo,17.78576720346282,15599966.0,11-20,219275.9781113455,4.446441800865705
2017,18,leaftj01,T.J. Leaf,tj leaf,1.346812427277112,13028936.0,11-20,2418476.3475825954,0.336703106819278
2017,19,collijo01,John Collins,john collins,15.584556014619457,12326814.0,11-20,197740.85941935953,3.896139003654864
2017,22,allenja01,Jarrett Allen,jarrett allen,5.7577992899747645,11210044.0,21-30,486733.01358031237,1.4394498224936911
2017,23,anunoog01,OG Anunoby,og anunoby,10.901576557424104,11069075.0,21-30,253841.1518208765,2.725394139356026
2017,27,kuzmaky01,Kyle Kuzma,kyle kuzma,3.397166069818654,9429195.0,21-30,693901.5348536777,0.8492915174546635
2017,28,bradlto01,Tony Bradley,tony bradley,3.486814073982929,9373478.0,21-30,672066.0896390178,0.8717035184957322
2017,29,whitede01,Derrick White,derrick white,16.27684743379577,9305105.0,21-30,142919.33738777516,4.069211858448942
2017,30,hartjo01,Josh Hart,josh hart,11.39103633401782,8959485.0,21-30,196634.54529689468,2.847759083504455
2017,33,iwundwe01,Wes Iwundu,wes iwundu,0.166234363162262,4374904.0,31-45,6579421.842717379,0.0415585907905655
2017,38,belljo01,Jordan Bell,jordan bell,2.574136123817443,5098961.0,31-45,495210.89355195424,0.6435340309543608
2017,39,evansja01,Jawun Evans,jawun evans,0.327067265,2193857.0,31-45,1676915.756151873,0.08176681625
2017,42,bryanth01,Thomas Bryant,thomas bryant,2.159848282747338,20349618.0,31-45,2355445.3063382744,0.5399620706868345
2017,43,harteis01,Isaiah Hartenstein,isaiah hartenstein,1.5243810310015862,4230283.0,31-45,693770.6049157073,0.38109525775039654
2017,44,dotsoda01,Damyean Dotson,damyean dotson,0.257279392788232,6812386.0,31-45,6619638.213317099,0.064319848197058
2017,45,brookdi01,Dillon Brooks,dillon brooks,7.791701999391487,17705459.0,31-45,568087.0174893353,1.9479254998478717
2017,46,brownst02,Sterling Brown,sterling brown,0.5989609872148375,6421009.0,46-60,2680061.446847159,0.14974024680370937
2017,48,thornsi01,Sindarius Thornwell,sindarius thornwell,1.3074414910393228,3700024.0,46-60,707493.2272989793,0.3268603727598307
2017,51,morrimo01,Monte Morris,monte morris,7.719527002393379,5038280.0,46-60,163166.73283343398,1.9298817505983448
2017,53,allenka01,Kadeem Allen,kadeem allen,0.877534882645043,0.0,46-60,0.0,0.21938372066126074
2017,54,peteral01,Alec Peters,alec peters,0.359275877,0.0,46-60,0.0,0.08981896925
2017,55,willini01,Nigel Williams-Goss,nigel williams goss,0.002987026419201,1500000.0,46-60,125542913.71159308,0.00074675660480025
2017,59,blossja01,Jaron Blossomgame,jaron blossomgame,0.190143498,0.0,46-60,0.0,0.0475358745
2018,1,aytonde01,Deandre Ayton,deandre ayton,13.874394974268824,44545254.0,01-05,802652.1892055967,3.468598743567206
2018,2,baglema01,Marvin Bagley III,marvin bagley,0.8041551477317156,39866366.0,01-05,12393866.442455556,0.2010387869329289
2018,3,doncilu01,Luka DonÄiÄ,luka donaia,41.56147900528261,0.0,01-05,0.0,10.390369751320652
2018,4,jacksja02,Jaren Jackson Jr.,jaren jackson,9.91819943421998,32302919.0,01-05,814233.4506943818,2.479549858554995
2018,5,youngtr01,Trae Young,trae young,24.3760925030185,29266730.0,01-05,300158.13646481576,6.094023125754625
2018,6,bambamo01,Mo Bamba,mo bamba,1.327501083650629,26589155.0,06-10,5007369.73541291,0.3318752709126572
2018,7,cartewe01,Wendell Carter Jr.,wendell carter,4.025417811019243,24285010.0,06-10,1508229.1540968632,1.0063544527548107
2018,10,bridgmi01,Mikal Bridges,mikal bridges,26.456007757026207,19452897.0,06-10,183823.0580616768,6.614001939256552
2018,11,gilgesh01,Shai Gilgeous-Alexander,shai gilgeous alexander,15.15967777131062,18730015.0,11-20,308878.8443024523,3.789919442827655
2018,12,bridgmi02,Miles Bridges,miles bridges,9.459903947825328,18025892.0,11-20,476376.18995444046,2.364975986956332
2018,14,portemi01,Michael Porter Jr.,michael porter,9.454506085586743,16691814.0,11-20,441371.9196142469,2.363626521396686
2018,15,browntr01,Troy Brown Jr.,troy brown,1.3431311595183733,16057979.0,11-20,2988907.465626468,0.3357827898795933
2018,16,smithzh01,Zhaire Smith,zhaire smith,0.068696717362881,8122656.0,11-20,29559840.38179431,0.01717417934072025
2018,17,divindo01,Donte DiVincenzo,donte divincenzo,10.449626880282883,14503575.0,11-20,346987.8677526372,2.612406720070721
2018,19,huertke01,Kevin Huerter,kevin huerter,7.307451372942674,13171526.0,11-20,450619.6937816875,1.8268628432356686
2018,20,okogijo01,Josh Okogie,josh okogie,6.145506624486742,12649236.0,11-20,514572.5475910798,1.5363766561216854
2018,21,allengr01,Grayson Allen,grayson allen,3.758534852949145,12294315.0,21-30,817759.8107380347,0.9396337132372863
2018,23,holidaa01,Aaron Holiday,aaron holiday,6.4419987584914935,11702671.0,21-30,454155.2800120527,1.6104996896228734
2018,25,wagnemo01,Moritz Wagner,moritz wagner,1.807542994847148,8730431.0,21-30,1207499.7696995689,0.451885748711787
2018,26,shamela01,Landry Shamet,landry shamet,6.321734659151596,10603394.0,21-30,419322.9616435302,1.580433664787899
2018,27,williro04,Robert Williams,robert williams,10.892927645080988,10300322.0,21-30,236399.30273133237,2.723231911270247
2018,29,musadz01,DÅ¾anan Musa,da34anan musa,0.113472918405211,0.0,21-30,0.0,0.02836822960130275
2018,32,carteje01,Jevon Carter,jevon carter,2.4806555164915376,11787970.0,31-45,1187989.4166716128,0.6201638791228844
2018,33,brunsja01,Jalen Brunson,jalen brunson,15.836977241667055,6758389.0,31-45,106686.85218254106,3.959244310416764
2018,34,grahade01,Devonte' Graham,devonte graham,11.615889002939744,17152871.0,31-45,369168.278804553,2.903972250734936
2018,36,robinmi01,Mitchell Robinson,mitchell robinson,12.620227054052512,7196689.0,31-45,142562.58958686987,3.155056763513128
2018,37,trentga02,Gary Trent Jr.,gary trent,6.005621365230835,23044787.0,31-45,959300.6950711353,1.5014053413077086
2018,38,thomakh01,Khyri Thomas,khyri thomas,0.75651967069921,3548692.0,31-45,1172703.1488553816,0.1891299176748025
2018,39,bongais01,Isaac Bonga,isaac bonga,2.4568941726700078,6444150.0,31-45,655721.1612615855,0.6142235431675019
2018,41,vandeja01,Jarred Vanderbilt,jarred vanderbilt,7.502799990838509,8966256.0,31-45,298763.66193116177,1.8756999977096271
2018,42,brownbr01,Bruce Brown,bruce brown,10.757399594769185,9759628.0,31-45,226811.97054224997,2.689349898692296
2018,45,diallha01,Hamidou Diallo,hamidou diallo,3.68030597392419,10296056.0,31-45,699402.1742315661,0.9200764934810475
2018,46,meltode01,De'Anthony Melton,deanthony melton,10.796018355476582,24213583.0,46-60,560706.3225239188,2.6990045888691454
2018,47,mykhasv01,Svi Mykhailiuk,svi mykhailiuk,0.5004057790349071,0.0,46-60,0.0,0.12510144475872678
2018,50,johnsal02,Alize Johnson,alize johnson,0.361236502593111,4173508.0,46-60,2888348.7480091047,0.09030912564827775
2018,54,miltosh01,Shake Milton,shake milton,2.6593696697111904,5664883.0,46-60,532540.0098113485,0.6648424174277976
2018,58,welshth01,Thomas Welsh,thomas welsh,0.082024512,0.0,46-60,0.0,0.020506128
2018,60,antetko01,Kostas Antetokounmpo,kostas antetokounmpo,0.0376777051862985,547332.0,46-60,3631670.2231047587,0.009419426296574626
2019,1,willizi01,Zion Williamson,zion williamson,7.43092137661149,49005862.0,01-05,1648714.1875247082,1.8577303441528725
2019,2,moranja01,Ja Morant,ja morant,10.438667984731484,43856657.0,01-05,1050341.314240203,2.609666996182871
2019,3,barrerj01,RJ Barrett,rj barrett,3.856121443713964,39401994.0,01-05,2554509.4063512282,0.964030360928491
2019,4,huntede01,De'Andre Hunter,deandre hunter,1.95732412717336,35533417.0,01-05,4538519.77129039,0.48933103179334
2019,5,garlada01,Darius Garland,darius garland,6.761573249777866,32191718.0,01-05,1190245.110524299,1.6903933124444666
2019,7,whiteco01,Coby White,coby white,1.1060900927550794,26709903.0,06-10,6037008.9143168805,0.27652252318876985
2019,8,hayesja02,Jaxson Hayes,jaxson hayes,1.0447684593063618,24481276.0,06-10,5858062.564468472,0.26119211482659044
2019,11,johnsca02,Cameron Johnson,cameron johnson,11.205074563390092,20568375.0,11-20,458907.5887812978,2.801268640847523
2019,12,washipj01,P.J. Washington,pj washington,2.047568832009456,19768122.0,11-20,2413608.970180484,0.511892208002364
2019,13,herroty01,Tyler Herro,tyler herro,6.562638525305281,18995760.0,11-20,723632.7251132713,1.6406596313263202
