season_end,pick,team,player_name,player_slug,canonical_name
2019,2,MEM,Ja Morant,moranja01,ja morant
2019,3,NYK,RJ Barrett,barrerj01,rj barrett
2019,4,LAL,De'Andre Hunter,huntede01,deandre hunter
2019,5,CLE,Darius Garland,garlada01,darius garland
2019,6,PHO,Jarrett Culver,culveja01,jarrett culver
2019,7,CHI,Coby White,whiteco01,coby white
2019,8,ATL,Jaxson Hayes,hayesja02,jaxson hayes
2019,9,WAS,Rui Hachimura,hachiru01,rui hachimura
2019,10,ATL,Cam Reddish,reddica01,cam reddish
2019,11,MIN,Cameron Johnson,johnsca02,cameron johnson
2019,12,CHO,P.J. Washington,washipj01,pj washington
2019,13,MIA,Tyler Herro,herroty01,tyler herro
2019,14,BOS,Romeo Langford,langfro01,romeo langford
2019,15,DET,Sekou Doumbouya,doumbse01,sekou doumbouya
2019,16,ORL,Chuma Okeke,okekech01,chuma okeke
2019,17,BRK,Nickeil Alexander-Walker,alexani01,nickeil alexander walker
2019,18,IND,Goga Bitadze,bitadgo01,goga bitadze
2019,19,SAS,Luka Å amaniÄ,samanlu01,luka a amania
2019,20,BOS,Matisse Thybulle,thybuma01,matisse thybulle
2019,21,OKC,Brandon Clarke,clarkbr01,brandon clarke
2019,22,BOS,Grant Williams,willigr01,grant williams
2019,23,UTA,Darius Bazley,bazleda01,darius bazley
2019,24,PHI,Ty Jerome,jeromty01,ty jerome
2019,25,POR,Nassir Little,littlna01,nassir little
2019,26,CLE,Dylan Windler,windldy01,dylan windler
2019,27,BRK,Mfiondu Kabengele,kabenmf01,mfiondu kabengele
2019,28,GSW,Jordan Poole,poolejo01,jordan poole
2019,29,SAS,Keldon Johnson,johnske04,keldon johnson
2019,30,MIL,Kevin Porter Jr.,porteke02,kevin porter
2019,31,BRK,Nic Claxton,claxtni01,nic claxton
2019,32,PHO,KZ Okpala,okpalkz01,kz okpala
2019,33,PHI,Carsen Edwards,edwarca01,carsen edwards
2019,34,PHI,Bruno Fernando,fernabr01,bruno fernando
2019,35,ATL,Didi Louzada,louzama01,didi louzada
2019,36,CHO,Cody Martin,martico01,cody martin
2019,37,DAL,Deividas Sirvydis,sirvyde01,deividas sirvydis
2019,38,CHI,Daniel Gafford,gaffoda01,daniel gafford
2019,39,NOP,Alen SmailagiÄ,smailal01,alen smailagia
2019,40,SAC,Justin James,jamesju01,justin james
2019,41,GSW,Eric Paschall,pascher01,eric paschall
2019,42,PHI,Admiral Schofield,schofad01,admiral schofield
2019,43,MIN,Jaylen Nowell,nowelja01,jaylen nowell
2019,44,MIA,Bol Bol,bolbo01,bol bol
2019,45,DET,Isaiah Roby,robyis01,isaiah roby
2019,46,ORL,Talen Horton-Tucker,hortota01,talen horton tucker
2019,47,SAC,Ignas Brazdeikis,brazdig01,ignas brazdeikis
2019,48,LAC,Terance Mann,mannte01,terance mann
2019,49,SAS,Quinndary Weatherspoon,weathqu01,quinndary weatherspoon
2019,50,IND,Jarrell Brantley,brantja01,jarrell brantley
2019,51,BOS,Tremont Waters,watertr01,tremont waters
2019,52,CHO,Jalen McDaniels,mcdanja01,jalen mcdaniels
2019,53,UTA,Justin Wright-Foreman,wrighju02,justin wright foreman
2019,54,PHI,Marial Shayok,shayoma01,marial shayok
2019,55,NYK,Kyle Guy,guyky01,kyle guy
2019,56,LAC,Jaylen Hands,handsja01,jaylen hands
2019,57,NOP,Jordan Bone,bonejo01,jordan bone
2019,58,GSW,Miye Oni,onimi01,miye oni
2019,59,TOR,Dewan Hernandez,hernade01,dewan hernandez
2019,60,SAC,Vanja MarinkoviÄ,marinva01,vanja marinkovia
2020,1,MIN,Anthony Edwards,edwaran01,anthony edwards
2020,2,GSW,James Wiseman,wisemja01,james wiseman
2020,3,CHO,LaMelo Ball,ballla01,lamelo ball
2020,4,CHI,Patrick Williams,willipa01,patrick williams
2020,5,CLE,Isaac Okoro,okorois01,isaac okoro
2020,6,ATL,Onyeka Okongwu,okongon01,onyeka okongwu
2020,7,DET,Killian Hayes,hayeski01,killian hayes
2020,8,NYK,Obi Toppin,toppiob01,obi toppin
2020,9,WAS,Deni Avdija,avdijde01,deni avdija
2020,10,PHO,Jalen Smith,smithja04,jalen smith
2020,11,SAS,Devin Vassell,vassede01,devin vassell
2020,12,SAC,Tyrese Haliburton,halibty01,tyrese haliburton
2020,13,NOP,Kira Lewis Jr.,lewiski01,kira lewis
2020,14,BOS,Aaron Nesmith,nesmiaa01,aaron nesmith
2020,15,ORL,Cole Anthony,anthoco01,cole anthony
2020,16,POR,Isaiah Stewart,stewais01,isaiah stewart
2020,17,MIN,Aleksej Pokusevski,pokusal01,aleksej pokusevski
2020,18,DAL,Josh Green,greenjo02,josh green
2020,19,BRK,Saddiq Bey,beysa01,saddiq bey
2020,20,MIA,Precious Achiuwa,achiupr01,precious achiuwa
2020,21,PHI,Tyrese Maxey,maxeyty01,tyrese maxey
2020,22,DEN,Zeke Nnaji,nnajize01,zeke nnaji
2020,23,NYK,Leandro Bolmaro,bolmale01,leandro bolmaro
2020,24,MIL,R.J. Hampton,hamptrj01,rj hampton
2020,25,OKC,Immanuel Quickley,quickim01,immanuel quickley
2020,26,BOS,Payton Pritchard,pritcpa01,payton pritchard
2020,27,UTA,Udoka Azubuike,azubuud01,udoka azubuike
2020,28,LAL,Jaden McDaniels,mcdanja02,jaden mcdaniels
2020,29,TOR,Malachi Flynn,flynnma01,malachi flynn
2020,30,BOS,Desmond Bane,banede01,desmond bane
2020,31,DAL,Tyrell Terry,terryty01,tyrell terry
2020,32,CHO,Vernon Carey Jr.,careyve01,vernon carey
2020,33,MIN,Daniel Oturu,oturuda01,daniel oturu
2020,34,PHI,ThÃ©o Maledon,maledth01,thao maledon
2020,35,SAC,Xavier Tillman Sr.,tillmxa01,xavier tillman
2020,36,PHI,Tyler Bey,beyty01,tyler bey
2020,37,WAS,Vit Krejci,krejcvi01,vit krejci
2020,38,UTA,Saben Lee,leesa01,saben lee
2020,39,NOP,Elijah Hughes,hugheel01,elijah hughes
2020,40,MEM,Robert Woodard II,woodaro01,robert woodard
2020,41,SAS,Tre Jones,jonestr01,tre jones
2020,42,NOP,Nick Richards,richani01,nick richards
2020,43,SAC,Jahmi'us Ramsey,ramseja01,jahmius ramsey
2020,44,CHI,Marko Simonovic,simonma01,marko simonovic
2020,45,MIL,Jordan Nwora,nworajo01,jordan nwora
2020,46,POR,CJ Elleby,ellebcj01,cj elleby
2020,47,BOS,Yam Madar,madarya01,yam madar
2020,48,GSW,Nico Mannion,mannini01,nico mannion
2020,49,PHI,Isaiah Joe,joeis01,isaiah joe
2020,50,ATL,Skylar Mays,mayssk01,skylar mays
2020,51,GSW,Justinian Jessup,jessuju01,justinian jessup
2020,52,SAC,KJ Martin,martike04,kj martin
2020,53,OKC,Cassius Winston,winstca01,cassius winston
2020,54,IND,Cassius Stanley,stanlca01,cassius stanley
2020,55,BRK,Jay Scrubb,scrubja01,jay scrubb
2020,56,CHO,Grant Riller,rillegr01,grant riller
2020,57,LAC,Reggie Perry,perryre01,reggie perry
2020,58,PHI,Paul Reed,reedpa01,paul reed
2020,59,TOR,Jalen Harris,harrija01,jalen harris
2020,60,NOP,Sam Merrill,merrisa01,sam merrill
