player_slug,player_name,canonical_name,season_end,war,salary
cabocbr01,Bruno Caboclo,bruno caboclo,2021,0.0092099390196142,2472230.0
cacokde01,Devontae Cacok,devontae cacok,2021,0.2623754760094776,547332.0
cacokde01,Devontae Cacok,devontae cacok,2022,0.515405155731331,839656.0
caldwke01,Kentavious Caldwell-Pope,kentavious caldwell pope,2017,3.476403088,3678319.0
caldwke01,Kentavious Caldwell-Pope,kentavious caldwell pope,2018,3.772833131,17745894.0
caldwke01,Kentavious Caldwell-Pope,kentavious caldwell pope,2019,3.388708417,12000000.0
caldwke01,Kentavious Caldwell-Pope,kentavious caldwell pope,2020,2.49357222574419,8089282.0
caldwke01,Kentavious Caldwell-Pope,kentavious caldwell pope,2021,2.946467901097611,14713286.0
caldwke01,Kentavious Caldwell-Pope,kentavious caldwell pope,2022,1.955177918607547,15077455.0
campafa01,Facundo Campazzo,facundo campazzo,2021,4.318792266984283,3899812.0
campafa01,Facundo Campazzo,facundo campazzo,2022,1.031605200215769,3584677.0
canaais01,Isaiah Canaan,isaiah canaan,2018,0.986058729,997547.0
cancavl01,Vlatko Cancar,vlatko cancar,2020,0.045398723757364,898310.0
capelca01,Clint Capela,clint capela,2017,3.523056969,1296240.0
capelca01,Clint Capela,clint capela,2018,8.439725989,2334528.0
capelca01,Clint Capela,clint capela,2019,7.151116247,13793104.0
capelca01,Clint Capela,clint capela,2020,3.84345755700125,14896552.0
capelca01,Clint Capela,clint capela,2021,11.01088524298106,21936446.0
capelca01,Clint Capela,clint capela,2022,5.70626355086496,20355703.0
carrode01,DeMarre Carroll,demarre carroll,2017,4.013975173,14200000.0
carrode01,DeMarre Carroll,demarre carroll,2018,3.399648468,15400000.0
carrode01,DeMarre Carroll,demarre carroll,2019,1.506976808,15400000.0
carrode01,DeMarre Carroll,demarre carroll,2020,0.274230514847237,512721.0
carteje01,Jevon Carter,jevon carter,2019,0.048695351,838464.0
carteje01,Jevon Carter,jevon carter,2020,1.5533540420268,1416852.0
carteje01,Jevon Carter,jevon carter,2021,0.7650430658668895,4783363.0
carteje01,Jevon Carter,jevon carter,2022,0.1135630575978478,4749291.0
cartemi01,Michael Carter-Williams,michael carter williams,2017,1.078538795,3183526.0
cartemi01,Michael Carter-Williams,michael carter williams,2019,1.02118832,59820.0
cartemi01,Michael Carter-Williams,michael carter williams,2020,3.01518905533605,1620564.0
cartemi01,Michael Carter-Williams,michael carter williams,2021,0.7445856926791592,4021681.0
cartevi01,Vince Carter,vince carter,2017,3.62836706,4264057.0
cartevi01,Vince Carter,vince carter,2018,1.687121062,8000000.0
cartevi01,Vince Carter,vince carter,2019,0.905034635,1512601.0
cartewe01,Wendell Carter Jr.,wendell carter,2020,0.057017050889697,5201400.0
cartewe01,Wendell Carter Jr.,wendell carter,2021,0.7617866545014439,6640454.0
cartewe01,Wendell Carter Jr.,wendell carter,2022,3.488158075628102,8001956.0
carusal01,Alex Caruso,alex caruso,2020,4.47156955152683,2750000.0
carusal01,Alex Caruso,alex caruso,2021,3.249303802505665,3351401.0
carusal01,Alex Caruso,alex caruso,2022,5.224073629250333,9944588.0
casspom01,Omri Casspi,omri casspi,2018,0.762878731,1471382.0
casspom01,Omri Casspi,omri casspi,2019,1.255989211,1512601.0
caulewi01,Willie Cauley-Stein,willie cauley stein,2018,0.916987533,3704160.0
